,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
136729,Personal Services - Other Compensation,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,Career Ladder I/Ext Learning,Regular Instruction,5.70E+02,NaN,NaN,General Purpose School,NaN
53249,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION,BUS DRIVERS,REG",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,BUS DRIVER,transportation - Second Runs,4.15E+02,NaN,NaN,General Operating Fund,OVERTIME
286410,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.39E+04,NaN,NaN,General Fund,NaN
223763,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,0.00431,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.29E+02,NaN,Regular,NaN,INSTRUCTIONAL STAFF
318309,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.30E+04,NaN,NaN,General Fund,NaN
203785,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,6.91E+04,NaN,NaN,General Fund,NaN
191340,Professional Salaries,Accelerated Education,NaN,NaN,NaN,AVID supplement,School,0.33,Instruction,NaN,NaN,1.73E+04,NaN,NaN,General Fund,NaN
172809,Professional Salaries,Bilingual Education,NaN,T-EL 1ST ESL,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
336890,Employee Allowance,Special Education,NaN,TRAVEL,NaN,General,Special Ed Evaluation Services,NaN,Instructional Leadership,NaN,NaN,1.04E+03,NaN,NaN,General Fund,NaN
252946,Salaries And Wages For Teachers And Other Professi,Career And Technology,Operations,"TEACHER, VOCATIONAL EDUCATION",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.21,Instruction,TEACHER BACHELOR,NaN,2.35E+04,NaN,NaN,General Operating Fund,REGULAR PAY
104309,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,0.5,Instruction,NaN,NaN,1.92E+04,NaN,NaN,General Fund,NaN
234846,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Reading & Writing Asst,NaN,NaN,NaN,0.834524,NON-PROJECT,PARAPROFESSIONAL,NaN,1.83E+04,NaN,Regular,NaN,REGULAR INSTRUCTION
413257,Professional Salaries,Special Education,NaN,T-EL/SE,NaN,General,School,1,Instruction,NaN,NaN,5.39E+04,NaN,NaN,General Fund,NaN
318610,SALARIES FOR OVERTIME,MAINTENANCE - GROUNDS,CAPITAL RESERVE FUND,Athletic Field Tech,NaN,NaN,MAINTENANCE,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,5.89E+03,MAINTENANCE,NaN,NaN,OPERATION AND MAINT OF PLANT
274880,Extra Duty/Signing Bonus Pay,Undistributed,NaN,DRILL TM DIRECT,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,6.97E+03,NaN,NaN,General Fund,NaN
143283,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Operations,"TEACHER, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.94,Instruction,TEACHER MASTER,Basic Educational Services - District Objective,7.58E+04,NaN,NaN,General Operating Fund,REGULAR PAY
361820,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,Early Childhood Center,0.65625,Food Services,NaN,NaN,1.79E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
128678,EMPLOYEE BENEFITS,SPECIAL EDUCATION,GENERAL FUND,Elementary Spec Ed Para,NaN,NaN,NaN,NaN,SPECIAL EDUCATION,PARAPROFESSIONAL,NaN,1.80E+03,PRESCHOOL - SPECIAL ED,Regular,NaN,SPECIAL EDUCATION
352048,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,3.05E+02,NaN,NaN,General Fund,NaN
182285,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,NaN,NaN,NaN,General Fund,NaN
164569,Professional Salaries,Basic Educational Services,NaN,T-EL 4TH,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
277121,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,6.59E+04,NaN,NaN,General Fund,NaN
52474,Salaries Or Wages For Support Personnel,Services To Students With Disabilities (Special Education),Idea Part B Formula,"CLASSROOM AIDE, SP.ED.,STR.LRN",Instruction And Curriculum,Salaries Or Wages For Support Personnel,Summer School,NaN,Curriculum Development And Instructional Staff Dev,TEACHER BACHELOR,Extra Duty Salary,6.34E+01,NaN,NaN,Idea Part B Formula,EXTENDED YEAR
103158,EMPLOYEE BENEFITS,GENERAL K-8 EDUCATION,GENERAL FUND,ELA General Assignment,NaN,NaN,NaN,NaN,STATE ELPA (ENG LANG PROF ACT),PARAPROFESSIONAL,NaN,2.71E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
124359,EQUIPMENT *,NaN,Support Services - Instructional Staff,NaN,NaN,Equipment *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,-4.04E+02,NaN,NaN,Special Trust,ITEMS FOUNDATION-AUG
287028,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,School Counselor,NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,3.15E+01,NaN,Regular,NaN,REGULAR INSTRUCTION
186113,Employee Allowance,Accelerated Education,NaN,TRAVEL,NaN,Support NI-AU (Needs Improvement-Academically Unacceptable),School,NaN,Instruction,NaN,NaN,2.56E+02,NaN,NaN,General Fund,NaN
339859,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"HC, BASKETBALL",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,NaN,NaN,NaN,Athletics,NaN
28774,Professional Salaries,Accelerated Education,NaN,TRANSITION FACI,NaN,General,State/Federal Compliance & Accountability,0.8,Social Work Services,NaN,NaN,5.31E+04,NaN,NaN,Title I- Part D,NaN
258779,Salaries for Support Personnel,Undistributed,NaN,SECURITY GUARD,NaN,General,School,1,Security & Monitoring Servicess,NaN,NaN,3.07E+04,NaN,NaN,General Fund,NaN
410869,Reading Materials including Library Books,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instructional Resource & Media Services,NaN,NaN,6.90E+03,NaN,NaN,General Fund,NaN
319467,Field Trips,Undistributed,NaN,NaN,NaN,Cheerleading,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,9.51E+02,NaN,NaN,General Fund,NaN
61521,Extra Duty/Signing Bonus Pay,High School Allotment,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.39E+04,NaN,NaN,General Fund,NaN
64369,SALARIES OF REGULAR EMPLOYEES,GENERAL ELEMENTARY EDUCATION,MILL LEVY,"Teacher, Elementary",NaN,NaN,NaN,NaN,ALL DAY KINDERGARTEN,PROFESSIONAL-INSTRUCTIONAL,NaN,1.39E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
66544,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Supv, Athletics",NaN,NaN,MIDDLE SCHOOL EDUCATION,NaN,NON-PROJECT,UNDESIGNATED,NaN,-3.96E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
34258,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,0.6604,Student Transportation,NaN,NaN,2.11E+04,NaN,NaN,General Fund,NaN
213266,Salaries for Support Personnel,Undistributed,NaN,DATA PROC ASTII,NaN,General,School,1,School Leadership,NaN,NaN,4.34E+04,NaN,NaN,General Fund,NaN
10595,SUPPLIES,UPPER ELEMENTARY GRADES PROGRAM,UPPER ELEMENTARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,6.20E+02,NaN,NaN,General Fund,NaN
41996,ADDITIONAL/EXTRA DUTY PAY/STIP,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND,"Principal, Asst Elem Sch",NaN,NaN,LEADERSHIP DEVELOPMENT,NaN,TEACHER INCENTIVE FUND (TIF),ADMINISTRATOR,NaN,1.09E+02,NaN,n/a,NaN,INSTRUCTIONAL STAFF
88017,SUPPLIES,NaN,NaN,"TEACHER, LANG ARTS-MIDDLE",NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,1.84E+02,NaN,NaN,GENERAL FUND,TEACHER LEAD
372195,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.75E+04,NaN,NaN,General Fund,NaN
292422,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,5.35E+04,NaN,NaN,General Fund,NaN
237960,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,2.90E+04,NaN,NaN,General Fund,NaN
432610,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Secondary (High)",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-5.55E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
388416,Custodial/Maint Supplies,Undistributed,NaN,NaN,NaN,General,Athletic Complex,NaN,Plant Maintenance & Operations,NaN,NaN,3.63E+03,NaN,NaN,General Fund,NaN
348746,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,8.71E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
80689,Equipment Maintenance Repairs,Basic Educational Services,NaN,NaN,NaN,Band,School,NaN,Instruction,NaN,NaN,1.79E+02,NaN,NaN,General Fund,NaN
141108,NaN,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,NaN,Teacher-High School,NaN,NaN,NaN,1,NaN,HS MATH,NaN,7.83E+04,NaN,NaN,General Fund,NaN
414520,Professional Salaries,Basic Educational Services,NaN,T-HS ART,NaN,General,School,1,Instruction,NaN,NaN,5.39E+04,NaN,NaN,General Fund,NaN
340069,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,8.59E+03,NaN,NaN,Title I- Part A,NaN
208964,Extra Duty/Signing Bonus Pay,Special Education,NaN,NaN,NaN,Cycle  (used for grants),School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,-1.50E-01,NaN,NaN,IDEA-B Formula,NaN
281100,Software,Undistributed,NaN,NaN,NaN,General,Assoc Superintendent-Area,NaN,Instructional Leadership,NaN,NaN,1.50E+02,NaN,NaN,General Fund,NaN
37177,Salaries Or Wages For Support Personnel,Services To Students With Disabilities (Special Education),Operations,"CLERICAL, ASSESSMENT SPEC.",All Campus Payroll,Salaries Or Wages For Support Personnel,School,0.88,"""Guidance, Counseling And Evaluation Services""",ASSESSMENT SPECIALIST SCRTY,NaN,2.75E+04,NaN,NaN,General Operating Fund,REGULAR PAY
10712,EMPLOYEE BENEFITS,SUPPORT SERVICES-INSTRUCTIONAL,DISTRICT SPECIAL REVENUE FUNDS,Teacher on Special Assgnmt,NaN,NaN,HUMAN RESOURCES,NaN,TEACHING FELLOWS,PROFESSIONAL-INSTRUCTIONAL,NaN,4.49E+02,ITEMGF TEACHING FELLOWS,n/a,NaN,INSTRUCTIONAL STAFF
328340,Professional Salaries,Undistributed,NaN,ELEM ASST PRIN,NaN,General,School,0.5,School Leadership,NaN,NaN,3.36E+04,NaN,NaN,General Fund,NaN
237584,Professional Salaries,Bilingual Education,NaN,T-EL KIN ESL,NaN,General,School,0.5,Instruction,NaN,NaN,2.68E+04,NaN,NaN,General Fund,NaN
207722,Salaries And Wages For Substitute Professionals,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",TEACHER SUBSTITUTE POOL,Instruction And Curriculum,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,NON DEGREED SUBSTITUTE,Regular Salary,1.32E+02,NaN,NaN,"""Title  Part A Improving Basic Programs""",REGULAR PAY
191100,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,SSIG,School,NaN,Instruction,NaN,NaN,1.44E+04,NaN,NaN,General Fund,NaN
111805,SALARIES OF REGULAR EMPLOYEES,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,Teacher Secondary (Middle),NaN,NaN,NaN,1.004181,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,5.69E+04,NaN,Regular,NaN,REGULAR INSTRUCTION
317539,SALARIES OF PART TIME EMPLOYEE,SPECIAL EDUCATION,GENERAL FUND,Summer School Para,NaN,NaN,SUMMER SCHOOL - ELEMENTARY SCH,0.016568,SPECIAL ED - EARLY CHILDHOOD,PARAPROFESSIONAL,NaN,4.72E+02,SPECIAL ED SYSTEMWIDE COSTS,n/a,NaN,SPECIAL EDUCATION
285428,Professional Salaries,Bilingual Education,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
259334,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,6.50E+04,NaN,NaN,General Fund,NaN
213751,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,0.9583,Student Transportation,NaN,NaN,2.91E+04,NaN,NaN,General Fund,NaN
295306,OTHER PURCHASED SERVICES,OTHER GENERAL EDUCATION,STATE AND LOCAL GDPG FUND,(blank),NaN,NaN,NaN,NaN,STATE ELPA (ENG LANG PROF ACT),UNDESIGNATED,NaN,1.85E+02,NaN,Charter,NaN,REGULAR INSTRUCTION
355133,Miscellaneous Contracted Srvcs,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,2.89E+02,NaN,NaN,General Fund,NaN
330193,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.165248,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,2.09E+03,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
266039,Personal Services - Other Compensation,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,Career Ladder I/Ext Learning,Regular Instruction,1.17E+03,NaN,NaN,General Purpose School,NaN
16985,TRANSPORTATION/FIELD TRIPS,ENGLISH LANGUAGE ARTS,DISTRICT SPECIAL REVENUE FUNDS,(blank),NaN,NaN,NaN,NaN,A TO Z GRANT,UNDESIGNATED,NaN,1.05E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
278875,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.24E+04,NaN,NaN,General Fund,NaN
354814,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Laundry,School,NaN,Food Services,NaN,NaN,5.37E+02,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
373580,Extra Duty/Signing Bonus Pay,Undistributed,NaN,BAND DIRECTOR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,5.14E+03,NaN,NaN,General Fund,NaN
226927,Part-Time Hourly,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,7.23E+02,NaN,NaN,General Fund,NaN
356357,WORKSHOP PARTICIPANT,NaN,NaN,BUS DRIVER,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,1.50E+01,NaN,NaN,GENERAL FUND,NaN
59230,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,NATIONAL BOARD,NaN,National Board,School,NaN,Instruction,NaN,NaN,2.19E+03,NaN,NaN,General Fund,NaN
132395,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,7.97E+04,NaN,NaN,General Fund,NaN
157448,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,1.12E+00,NaN,NaN,General Fund,NaN
82327,Reading Materials including Library Books,Special Education,NaN,NaN,NaN,General,ABD,NaN,Instruction,NaN,NaN,2.00E+02,NaN,NaN,General Fund,NaN
311826,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,3.48E+04,NaN,NaN,General Fund,NaN
124716,Miscellaneous Operating Costs,Undistributed,NaN,NaN,NaN,Food - Hospitality,School,NaN,School Leadership,NaN,NaN,3.14E+03,NaN,NaN,Campus Activity Funds,NaN
247671,Professional Salaries,Accelerated Education,NaN,T-HS,NaN,General,Learning Support Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,5.52E+04,NaN,NaN,General Fund,NaN
1446,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,ESL,PROFESSIONAL-INSTRUCTIONAL,NaN,4.50E-01,NaN,Regular,NaN,REGULAR INSTRUCTION
420299,Employee Allowance,Special Education,NaN,TRAVEL,NaN,General,Special Ed Evaluation Services,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,4.80E+02,NaN,NaN,General Fund,NaN
36934,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Extended Day Kinder Asst,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,2.08E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
370863,Salaries for Support Personnel,Special Education,NaN,EDUC INTER,NaN,Hearing Impaired,ABD,0.5,Instruction,NaN,NaN,2.13E+04,NaN,NaN,IDEA-B Formula,NaN
305517,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST C, FOOTBLL",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2.42E+03,NaN,NaN,Athletics,NaN
338632,General Supplies,Basic Educational Services,NaN,NaN,NaN,Math,School,NaN,Instruction,NaN,NaN,2.00E+03,NaN,NaN,General Fund,NaN
234322,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,-3.80E-01,NaN,NaN,Title I- Part A,NaN
243377,Salaries for Support Personnel,Undistributed,NaN,CLERK III- SCH,NaN,General,School,1,School Leadership,NaN,NaN,3.59E+04,NaN,NaN,General Fund,NaN
422202,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1.51E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
97190,EMPLOYEE BENEFITS,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education,NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,PARAPROFESSIONAL,NaN,2.58E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
343533,Professional Salaries,NaN,NaN,Instructional Support Coordinator,NaN,NaN,Curriculum and Instruction,1,NaN,NaN,NaN,7.69E+04,NaN,NaN,General Fund,NaN
4383,PARA PROFESSIONAL,NaN,NaN,TEACHER ASSISTANT-ELEM,NaN,NaN,School,0.86,BASIC (FEFP K-12),NaN,NaN,1.58E+04,NaN,NaN,GENERAL FUND,NaN
126710,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,2.90E+04,NaN,NaN,General Fund,NaN
425403,NaN,NaN,NaN,TRAVEL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.34E+02,NaN,NaN,NaN,NaN
78414,Field Trips,Accelerated Education,NaN,NaN,NaN,Summer Program,Summer School,NaN,Instruction,NaN,NaN,5.94E+03,NaN,NaN,General Fund,NaN
244576,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.30E+04,NaN,NaN,General Fund,NaN
421645,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,5.53E+02,NaN,NaN,General Fund,NaN
110888,General Supplies,Special Education,NaN,NaN,NaN,Special Education,Pre-K Center,NaN,Instruction,NaN,NaN,1.17E+03,NaN,NaN,General Fund,NaN
214353,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Secretary I,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-4.51E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
171162,Employee Allowance,Accelerated Education,NaN,CELL PHONE,NaN,Mobile Phone,Learning Support Services,NaN,Social Work Services,NaN,NaN,4.81E+02,NaN,NaN,General Fund,NaN
13331,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,8.00E+02,NaN,NaN,General Fund,NaN
271231,Professional Salaries,Bilingual Education,NaN,T-EL 1ST ESL,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
290041,Professional Salaries,Undistributed,NaN,MS ASST PRIN,NaN,General,School,1,School Leadership,NaN,NaN,7.18E+04,NaN,NaN,General Fund,NaN
322070,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Cable TV,NaN,Instructional Resource & Media Services,NaN,NaN,1.26E+03,NaN,NaN,General Fund,NaN
35977,Personal Services - Substitute Teachers Certified,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Title I - Teachers,7.11E+01,NaN,NaN,School Federal Projects,ESEA TITLE I DISADVANTAGED
141613,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,Misc,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,-4.29E+01,NaN,NaN,General Fund,NaN
291012,Professional Salaries,Basic Educational Services,NaN,ENGLISH,NaN,General,School,1,Instruction,NaN,NaN,5.39E+04,NaN,NaN,General Fund,NaN
314694,EMPLOYEE BENEFITS,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary I,NaN,NaN,NaN,NaN,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,NaN,8.03E+02,NaN,Regular,NaN,SCHOOL ADMINISTRATION
25905,Part-Time Hourly,Undistributed,NaN,NaN,NaN,General,Management Info System,NaN,Data Processing Services,NaN,NaN,3.28E+03,NaN,NaN,General Fund,NaN
350678,Subs for Support Personnel,Undistributed,NaN,FOOD PROD SUB,NaN,General,Food Service,NaN,Food Services,NaN,NaN,1.43E+01,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
22274,General Supplies,Special Education,NaN,NaN,NaN,Special Education,School,NaN,School Leadership,NaN,NaN,2.65E+02,NaN,NaN,General Fund,NaN
82427,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.84E+02,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
221546,Salaries for Support Personnel,Undistributed,NaN,ACCOUNTANT IV,NaN,General,Construction Management,1,Plant Maintenance & Operations,NaN,NaN,6.43E+04,NaN,NaN,Commercial  Bond Program,NaN
176597,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,0.012931,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,3.87E+02,NaN,Regular,NaN,INSTRUCTIONAL STAFF
219516,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,1.25E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
55228,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,PREKINDERGARTEN,NaN,NaN,3.83E+01,NaN,NaN,GENERAL FUND,VPK
242432,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.12E+04,NaN,NaN,IDEA-B Formula,NaN
195066,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,5.66E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
327371,General Supplies,Basic Educational Services,NaN,NaN,NaN,Physical Education,School,NaN,Instruction,NaN,NaN,2.50E+02,NaN,NaN,General Fund,NaN
408019,Professional Salaries,Undistributed,NaN,EX DIR-INN&DEV,NaN,General,Office of Innovation and Development,1,General Administration,NaN,NaN,1.31E+05,NaN,NaN,General Fund,NaN
209818,OTHER PURCHASED SERVICES,NaN,NaN,NaN,COPY CENTER,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,4.94E+03,NaN,NaN,GENERAL FUND,SCHOOL OPERATING ACCOUNT
99840,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.017135,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,2.88E+02,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
154058,Professional Salaries,Special Education,NaN,T-MS/SE HEAR IM,NaN,Hearing Impaired,School,0.45,Instruction,NaN,NaN,2.52E+04,NaN,NaN,School for the Deaf,NaN
435592,Professional Salaries,Basic Educational Services,NaN,T-HS ENGLISH,NaN,General,School,1,Instruction,NaN,NaN,5.32E+04,NaN,NaN,General Fund,NaN
191902,Professional Salaries,Basic Educational Services,NaN,T-EL MUSIC,NaN,Choral Music,School,0.33,Instruction,NaN,NaN,1.81E+04,NaN,NaN,General Fund,NaN
310140,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,0.8417,Student Transportation,NaN,NaN,2.22E+04,NaN,NaN,General Fund,NaN
198956,Regular *,NaN,Special Instruction,"TCHR, K-8 PRIMARY (GR",NaN,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1,Disadvantaged Youth *,NaN,NaN,1.05E+05,TEACHER,NaN,Improving Teacher Quality,TITLE II-A FY
98222,Copier Rental,Accelerated Education,NaN,NaN,NaN,General,Office of Program Evaluation,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,1.84E+03,NaN,NaN,Title I- Part A,NaN
293318,Personal Services - Substitute Teachers Certified,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Alternative Schools Instruction,7.20E+01,NaN,NaN,General Purpose School,NaN
103949,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"TEACHER, REGULAR",Instruction and Curriculum,Extra Duty Wages,Undistributed,NaN,Curriculum Development And Instructional Staff Dev,TEACHER BACHELOR,Undistributed,2.55E+01,NaN,NaN,General Operating Fund,MISCELLANEOUS
