,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
292422,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,53526.19,NaN,NaN,General Fund,NaN
237960,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,29018.19,NaN,NaN,General Fund,NaN
432610,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Secondary (High)",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-554.51,NaN,n/a,NaN,EMPLOYEE BENEFITS
388416,Custodial/Maint Supplies,Undistributed,NaN,NaN,NaN,General,Athletic Complex,NaN,Plant Maintenance & Operations,NaN,NaN,3634.65,NaN,NaN,General Fund,NaN
348746,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,8705.38,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
80689,Equipment Maintenance Repairs,Basic Educational Services,NaN,NaN,NaN,Band,School,NaN,Instruction,NaN,NaN,179.47,NaN,NaN,General Fund,NaN
141108,NaN,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,NaN,Teacher-High School,NaN,NaN,NaN,1,NaN,HS MATH,NaN,78316.35,NaN,NaN,General Fund,NaN
414520,Professional Salaries,Basic Educational Services,NaN,T-HS ART,NaN,General,School,1,Instruction,NaN,NaN,53887.14,NaN,NaN,General Fund,NaN
340069,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,8586.64,NaN,NaN,Title I- Part A,NaN
208964,Extra Duty/Signing Bonus Pay,Special Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,-0.15,NaN,NaN,IDEA-B Formula,NaN
281100,Software,Undistributed,NaN,NaN,NaN,General,Assoc Superintendent-Area,NaN,Instructional Leadership,NaN,NaN,150.4,NaN,NaN,General Fund,NaN
37177,Salaries Or Wages For Support Personnel,Services To Students With Disabilities (Special Education),Operations,"CLERICAL, ASSESSMENT SPEC.",All Campus Payroll,Salaries Or Wages For Support Personnel,School,0.88,"Guidance, Counseling And Evaluation Services",ASSESSMENT SPECIALIST SCRTY,NaN,27498.89,NaN,NaN,General Operating Fund,REGULAR PAY
10712,EMPLOYEE BENEFITS,SUPPORT SERVICES-INSTRUCTIONAL,DISTRICT SPECIAL REVENUE FUNDS,Teacher on Special Assgnmt,NaN,NaN,HUMAN RESOURCES,NaN,TEACHING FELLOWS,PROFESSIONAL-INSTRUCTIONAL,NaN,449.42,ITEMGF TEACHING FELLOWS,n/a,NaN,INSTRUCTIONAL STAFF
328340,Professional Salaries,Undistributed,NaN,ELEM ASST PRIN,NaN,General,School,0.5,School Leadership,NaN,NaN,33606.76,NaN,NaN,General Fund,NaN
237584,Professional Salaries,Bilingual Education,NaN,T-EL KIN ESL,NaN,General,School,0.5,Instruction,NaN,NaN,26762.35,NaN,NaN,General Fund,NaN
207722,Salaries And Wages For Substitute Professionals,"Title I, Part A Schoolwide Activities Related To State Comp",Title Part A Improving Basic Programs,TEACHER SUBSTITUTE POOL,Instruction And Curriculum,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,NON DEGREED SUBSTITUTE,Regular Salary,131.611,NaN,NaN,Title Part A Improving Basic Programs,REGULAR PAY
191100,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,SSIG,School,NaN,Instruction,NaN,NaN,14448.56,NaN,NaN,General Fund,NaN
111805,SALARIES OF REGULAR EMPLOYEES,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,Teacher Secondary (Middle),NaN,NaN,NaN,1.004181,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,56879.18,NaN,Regular,NaN,REGULAR INSTRUCTION
317539,SALARIES OF PART TIME EMPLOYEE,SPECIAL EDUCATION,GENERAL FUND,Summer School Para,NaN,NaN,SUMMER SCHOOL - ELEMENTARY SCH,0.016568,SPECIAL ED - EARLY CHILDHOOD,PARAPROFESSIONAL,NaN,471.7277,SPECIAL ED SYSTEMWIDE COSTS,n/a,NaN,SPECIAL EDUCATION
285428,Professional Salaries,Bilingual Education,NaN,CL,NaN,General,School,NaN,Instruction,NaN,NaN,3276.875,NaN,NaN,General Fund,NaN
259334,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,65004.17,NaN,NaN,General Fund,NaN
213751,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,0.9583,Student Transportation,NaN,NaN,29075.93,NaN,NaN,General Fund,NaN
295306,OTHER PURCHASED SERVICES,OTHER GENERAL EDUCATION,STATE AND LOCAL GDPG FUND,(blank),NaN,NaN,NaN,NaN,STATE ELPA (ENG LANG PROF ACT),UNDESIGNATED,NaN,185.32,NaN,Charter,NaN,REGULAR INSTRUCTION
355133,Miscellaneous Contracted Srvcs,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,289.2,NaN,NaN,General Fund,NaN
330193,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.165248,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,2087.248,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
266039,Personal Services - Other Compensation,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,Career Ladder I/Ext Learning,Regular Instruction,1167.61,NaN,NaN,General Purpose School,NaN
16985,TRANSPORTATION/FIELD TRIPS,ENGLISH LANGUAGE ARTS,DISTRICT SPECIAL REVENUE FUNDS,(blank),NaN,NaN,NaN,NaN,A TO Z GRANT,UNDESIGNATED,NaN,105.34,NaN,Regular,NaN,REGULAR INSTRUCTION
278875,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,32378.34,NaN,NaN,General Fund,NaN
354814,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Laundry,School,NaN,Food Services,NaN,NaN,536.98,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
373580,Extra Duty/Signing Bonus Pay,Undistributed,NaN,BAND DIRECTOR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,5138.686,NaN,NaN,General Fund,NaN
226927,Part-Time Hourly,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,722.8086,NaN,NaN,General Fund,NaN
356357,WORKSHOP PARTICIPANT,NaN,NaN,BUS DRIVER,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,15.018,NaN,NaN,GENERAL FUND,NaN
59230,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,NATIONAL BOARD,NaN,National Board,School,NaN,Instruction,NaN,NaN,2185.531,NaN,NaN,General Fund,NaN
132395,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,79719.48,NaN,NaN,General Fund,NaN
157448,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,School,NaN,School Leadership,NaN,NaN,1.12,NaN,NaN,General Fund,NaN
82327,Reading Materials including Library Books,Special Education,NaN,NaN,NaN,General,ABD,NaN,Instruction,NaN,NaN,200.01,NaN,NaN,General Fund,NaN
311826,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,34838.21,NaN,NaN,General Fund,NaN
124716,Miscellaneous Operating Costs,Undistributed,NaN,NaN,NaN,Food - Hospitality,School,NaN,School Leadership,NaN,NaN,3143.38,NaN,NaN,Campus Activity Funds,NaN
247671,Professional Salaries,Accelerated Education,NaN,T-HS,NaN,General,Learning Support Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,55161.88,NaN,NaN,General Fund,NaN
1446,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,ESL,PROFESSIONAL-INSTRUCTIONAL,NaN,0.45,NaN,Regular,NaN,REGULAR INSTRUCTION
420299,Employee Allowance,Special Education,NaN,TRAVEL,NaN,General,Special Ed Evaluation Services,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,480.4241,NaN,NaN,General Fund,NaN
36934,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Extended Day Kinder Asst,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,207.52,NaN,n/a,NaN,EMPLOYEE BENEFITS
370863,Salaries for Support Personnel,Special Education,NaN,EDUC INTER,NaN,Hearing Impaired,ABD,0.5,Instruction,NaN,NaN,21327.89,NaN,NaN,IDEA-B Formula,NaN
305517,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST C, FOOTBLL",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2417.972,NaN,NaN,Athletics,NaN
338632,General Supplies,Basic Educational Services,NaN,NaN,NaN,Math,School,NaN,Instruction,NaN,NaN,1999.94,NaN,NaN,General Fund,NaN
234322,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,-0.38,NaN,NaN,Title I- Part A,NaN
243377,Salaries for Support Personnel,Undistributed,NaN,CLERK III- SCH,NaN,General,School,1,School Leadership,NaN,NaN,35911.91,NaN,NaN,General Fund,NaN
422202,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1512.85,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
97190,EMPLOYEE BENEFITS,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education,NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,PARAPROFESSIONAL,NaN,258.3,NaN,Regular,NaN,REGULAR INSTRUCTION
343533,Professional Salaries,NaN,NaN,Instructional Support Coordinator,NaN,NaN,Curriculum and Instruction,1,NaN,NaN,NaN,76902.15,NaN,NaN,General Fund,NaN
4383,PARA PROFESSIONAL,NaN,NaN,TEACHER ASSISTANT-ELEM,NaN,NaN,School,0.86,BASIC (FEFP K-12),NaN,NaN,15814.07,NaN,NaN,GENERAL FUND,NaN
126710,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,29018.77,NaN,NaN,General Fund,NaN
425403,NaN,NaN,NaN,TRAVEL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233.74,NaN,NaN,NaN,NaN
78414,Field Trips,Accelerated Education,NaN,NaN,NaN,Summer Program,Summer School,NaN,Instruction,NaN,NaN,5942.57,NaN,NaN,General Fund,NaN
244576,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,32992.35,NaN,NaN,General Fund,NaN
421645,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,552.6037,NaN,NaN,General Fund,NaN
110888,General Supplies,Special Education,NaN,NaN,NaN,Special Education,Pre-K Center,NaN,Instruction,NaN,NaN,1170.12,NaN,NaN,General Fund,NaN
214353,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Secretary I,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-45.06,NaN,n/a,NaN,EMPLOYEE BENEFITS
171162,Employee Allowance,Accelerated Education,NaN,CELL PHONE,NaN,Mobile Phone,Learning Support Services,NaN,Social Work Services,NaN,NaN,481.2241,NaN,NaN,General Fund,NaN
13331,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,799.7203,NaN,NaN,General Fund,NaN
271231,Professional Salaries,Bilingual Education,NaN,T-EL 1ST ESL,NaN,General,School,1,Instruction,NaN,NaN,52514.22,NaN,NaN,General Fund,NaN
290041,Professional Salaries,Undistributed,NaN,MS ASST PRIN,NaN,General,School,1,School Leadership,NaN,NaN,71814.88,NaN,NaN,General Fund,NaN
322070,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Cable TV,NaN,Instructional Resource & Media Services,NaN,NaN,1258.426,NaN,NaN,General Fund,NaN
35977,Personal Services - Substitute Teachers Certified,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Title I - Teachers,71.07,NaN,NaN,School Federal Projects,ESEA TITLE I DISADVANTAGED
141613,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,Misc,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,-42.85,NaN,NaN,General Fund,NaN
291012,Professional Salaries,Basic Educational Services,NaN,ENGLISH,NaN,General,School,1,Instruction,NaN,NaN,53886.65,NaN,NaN,General Fund,NaN
314694,EMPLOYEE BENEFITS,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary I,NaN,NaN,NaN,NaN,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,NaN,803.49,NaN,Regular,NaN,SCHOOL ADMINISTRATION
25905,Part-Time Hourly,Undistributed,NaN,NaN,NaN,General,Management Info System,NaN,Data Processing Services,NaN,NaN,3277.885,NaN,NaN,General Fund,NaN
350678,Subs for Support Personnel,Undistributed,NaN,FOOD PROD SUB,NaN,General,Food Service,NaN,Food Services,NaN,NaN,14.3,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
22274,General Supplies,Special Education,NaN,NaN,NaN,Special Education,School,NaN,School Leadership,NaN,NaN,264.97,NaN,NaN,General Fund,NaN
82427,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,184.1444,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
221546,Salaries for Support Personnel,Undistributed,NaN,ACCOUNTANT IV,NaN,General,Construction Management,1,Plant Maintenance & Operations,NaN,NaN,64255.57,NaN,NaN,Commercial Bond Program,NaN
176597,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",NaN,NaN,NaN,0.012931,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,386.725,NaN,Regular,NaN,INSTRUCTIONAL STAFF
219516,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,12509,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
55228,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,PREKINDERGARTEN,NaN,NaN,38.3,NaN,NaN,GENERAL FUND,VPK
242432,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,61198.47,NaN,NaN,IDEA-B Formula,NaN
195066,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,5655.23,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
327371,General Supplies,Basic Educational Services,NaN,NaN,NaN,Physical Education,School,NaN,Instruction,NaN,NaN,250.19,NaN,NaN,General Fund,NaN
408019,Professional Salaries,Undistributed,NaN,EX DIR-INN&DEV,NaN,General,Office of Innovation and Development,1,General Administration,NaN,NaN,131250.4,NaN,NaN,General Fund,NaN
209818,OTHER PURCHASED SERVICES,NaN,NaN,NaN,COPY CENTER,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,4942.33,NaN,NaN,GENERAL FUND,SCHOOL OPERATING ACCOUNT
99840,SALARIES OF PART TIME EMPLOYEE,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,Food Service Worker II,NaN,NaN,NaN,0.017135,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,287.8981,FOOD SERVICES,Regular,NaN,FOOD SERVICES OPERATIONS
154058,Professional Salaries,Special Education,NaN,T-MS/SE HEAR IM,NaN,Hearing Impaired,School,0.45,Instruction,NaN,NaN,25213.23,NaN,NaN,School for the Deaf,NaN
435592,Professional Salaries,Basic Educational Services,NaN,T-HS ENGLISH,NaN,General,School,1,Instruction,NaN,NaN,53190.32,NaN,NaN,General Fund,NaN
191902,Professional Salaries,Basic Educational Services,NaN,T-EL MUSIC,NaN,Choral Music,School,0.33,Instruction,NaN,NaN,18080.94,NaN,NaN,General Fund,NaN
310140,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,0.8417,Student Transportation,NaN,NaN,22157.36,NaN,NaN,General Fund,NaN
198956,Regular *,NaN,Special Instruction,"TCHR, K-8 PRIMARY (GR",NaN,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1,Disadvantaged Youth *,NaN,NaN,104926.9,TEACHER,NaN,Improving Teacher Quality,TITLE II-A FY
98222,Copier Rental,Accelerated Education,NaN,NaN,NaN,General,Office of Program Evaluation,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,1842.27,NaN,NaN,Title I- Part A,NaN
293318,Personal Services - Substitute Teachers Certified,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Alternative Schools Instruction,71.95844,NaN,NaN,General Purpose School,NaN
103949,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"TEACHER, REGULAR",Instruction and Curriculum,Extra Duty Wages,Undistributed,NaN,Curriculum Development And Instructional Staff Dev,TEACHER BACHELOR,Undistributed,25.5001,NaN,NaN,General Operating Fund,MISCELLANEOUS
98115,Reading Materials including Library Books,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instructional Resource & Media Services,NaN,NaN,4999.74,NaN,NaN,General Fund,NaN
447134,Travel And Subsistence - Employee Only,Undistributed,NaN,NaN,Instruction And Curriculum,Travel And Subsistence - Employee Only,School,NaN,Curriculum Development And Instructional Staff Dev,NaN,Undistributed,763.2,NaN,NaN,Title Iv Part B Century Community Learning Ce,NaN
234566,Other Miscellaneous,NaN,Support Services - Instructional Staff,NaN,NaN,Other Miscellaneous Expenditures *,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,-564.62,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOL IMPROVEMEN
38495,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1899.26,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
77420,Personal Services - Extended Contracts,Principals Office,NaN,NaN,NaN,NaN,NaN,0,NaN,Career Ladder I/Ext Learning,Office of Principal,466.6099,NaN,NaN,General Purpose School,NaN
23133,NaN,NaN,LOCAL,"EDUCATIONAL AIDE,SPED,70H",NaN,NaN,NaN,0.875,NaN,NaN,NaN,31695.89,EARLY CHILDHOOD EDUCATION,NaN,NaN,NaN
100255,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,29017.96,NaN,NaN,General Fund,NaN
381219,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,Center,1,Instruction,NaN,NaN,28896.89,NaN,NaN,General Fund,NaN
184879,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,52514.87,NaN,NaN,General Fund,NaN
64502,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,60565.68,NaN,NaN,General Fund,NaN
70141,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Elementary Spec Ed Para,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-83.09,NaN,n/a,NaN,EMPLOYEE BENEFITS
360477,Salaries for Support Personnel,Undistributed,NaN,DATA MGMT I,NaN,General,Office of Program Evaluation,0.65,"Guidance, Counseling and Evaluation Services",NaN,NaN,36757.12,NaN,NaN,General Fund,NaN
215022,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Assoc Superintendent-Area,NaN,Instructional Leadership,NaN,NaN,524.4709,NaN,NaN,General Fund,NaN
118543,EMPLOYEE BENEFITS,TRANSPORTATION-OPERATIONS,GENERAL FUND,Bus Driver to Yrs,NaN,NaN,GARAGE,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,948.17,TRANSPORTATION,n/a,NaN,STUDENT TRANSPORTATION
352572,OTHER SUPPLIES,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,(blank),NaN,NaN,FEDERAL PROG-PRIVATE SCHOOL,NaN,TITLE I,UNDESIGNATED,NaN,71.75,GRANTS MANAGEMENT,NaN,NaN,INSTRUCTIONAL STAFF
18378,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Intervention",NaN,NaN,NaN,0.37501,TITLE I,PROFESSIONAL-INSTRUCTIONAL,NaN,29149.94,NaN,Regular,NaN,REGULAR INSTRUCTION
410010,Career Ladder,Bilingual Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1638.908,NaN,NaN,General Fund,NaN
37080,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,0.00431,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,109.8479,NaN,Regular,NaN,INSTRUCTIONAL STAFF
106707,Other General Supplies,NaN,Community Services,NaN,NaN,General Supplies *,NaN,NaN,Other Community Services *,NaN,NaN,-64.51,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PARENT-PUBLI
91199,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,Undistributed,NaN,Instruction,CERTIFIED SUBSTITUTE,Basic Educational Services - District Objective,444.6059,NaN,NaN,General Operating Fund,REGULAR PAY
394140,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,52514.53,NaN,NaN,General Fund,NaN
400865,General Supplies,Basic Educational Services,NaN,NaN,NaN,Music Lab,School,NaN,Instruction,NaN,NaN,190.09,NaN,NaN,General Fund,NaN
202031,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,NaN,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
22089,Field Trips,Basic Educational Services,NaN,NaN,NaN,Band,School,NaN,Instruction,NaN,NaN,0.1,NaN,NaN,General Fund,NaN
171902,Salaries for Support Personnel,Undistributed,NaN,SFTY SYSTM FRMN,NaN,General,District Police,1,Security & Monitoring Servicess,NaN,NaN,65342.43,NaN,NaN,General Fund,NaN
221962,Miscellaneous Operating Costs,Undistributed,NaN,NaN,Magnet Program Administration,Food - Working Lunches,Unallocated,NaN,Instructional Leadership,NaN,Undistributed,133.81,NaN,NaN,General Operating Fund,NaN
131505,Professional Salaries,Athletics and Related,NaN,ATHL TRAINER,NaN,General,School,1,Cocurricular & Extra Curricular Activities,NaN,NaN,57548.13,NaN,NaN,Athletics,NaN
105379,Overtime *,NaN,Regular Instruction,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Elementary,NaN,NaN,-95.73,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOLWIDE
72041,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,20805.03,NaN,NaN,General Fund,NaN
369646,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1012.932,NaN,NaN,General Fund,NaN
241620,General Supplies,Prekindergarten,NaN,NaN,NaN,Pre-K Tuition,School,NaN,Instruction,NaN,NaN,749.35,NaN,NaN,General Fund,NaN
375733,NaN,Accelerated Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Community Services,NaN,NaN,391.76,NaN,NaN,Century Community Learning,NaN
224022,Professional Salaries,Bilingual Education,NaN,T-EL KIN ESL,NaN,General,School,1,Instruction,NaN,NaN,52964.72,NaN,NaN,General Fund,NaN
313976,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,"Teacher, Secondary (High)",NaN,NaN,MATH / SCIENCE,NaN,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,NaN,141.8843,MATH/SCIENCE,n/a,NaN,INSTRUCTIONAL STAFF
143931,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-937.4,NaN,n/a,NaN,EMPLOYEE BENEFITS
266680,Professional Dues,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,School Leadership,NaN,NaN,499.6,NaN,NaN,General Fund,NaN
115303,Reproduction Services,Accelerated Education,NaN,NaN,NaN,Cycle (used for grants),School,NaN,Community Services,NaN,NaN,100.34,NaN,NaN,Century Community Learning,NaN
381322,Regular *,NaN,Support Services--Pupils,"TCHR, SPEECH/HEAR THERAP",NaN,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,0.4,Speech Pathology Services,NaN,NaN,38898.87,TEACHERSUP,NaN,General,SPEECH CORRECTION
340676,Salaries for Support Personnel,Accelerated Education,NaN,NaN,NaN,Stud Support,School,NaN,Instruction,NaN,NaN,0.21,NaN,NaN,General Fund,NaN
77886,General Supplies,Basic Educational Services,NaN,NaN,NaN,Science,School,NaN,Instruction,NaN,NaN,99.73,NaN,NaN,General Fund,NaN
421686,Professional Salaries,Bilingual Education,NaN,T-EL 5TH ESL,NaN,General,School,1,Instruction,NaN,NaN,60278.85,NaN,NaN,General Fund,NaN
206382,BOOKS AND PERIODICALS,ENGLISH LANGUAGE ARTS,MILL LEVY,(blank),NaN,NaN,NaN,NaN,TEXTBOOKS FOR,UNDESIGNATED,NaN,14.84,NaN,Regular,NaN,REGULAR INSTRUCTION
279567,Professional Salaries,Special Education,NaN,T-HS/SE LAN ART,NaN,General,School,1,Instruction,NaN,NaN,56227.29,NaN,NaN,General Fund,NaN
429394,Professional Salaries,Basic Educational Services,NaN,T-EL ART,NaN,General,School,1,Instruction,NaN,NaN,53437.29,NaN,NaN,General Fund,NaN
365676,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-SCHOOL ADMIN,ARRA - STIMULUS,Clerical Spec Assgmt Summer,NaN,NaN,SUMMER SCHOOL - HIGH SCHOOLS,0.028636,TITLE I A - ARRA,PROFESSIONAL-OTHER,NaN,865.2703,NaN,n/a,NaN,SCHOOL ADMINISTRATION
37594,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,55022.43,NaN,NaN,General Fund,NaN
