,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
251187,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,TCHER 2ND GRADE,NaN,Regular Instruction,NaN,NaN,1,NaN,NaN,TEACHER,6.78E+04,Instruction - Regular,General Purpose School,NaN
251259,Human Resources,Business Services,Shared Services,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,LEVY OVERRIDE,Extended Day Kinder Asst,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,5.65E+01,STAFF SERVICES,NaN,CENTRAL
251781,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SEVERE DISABILITIES,GENERAL FUND,"Teacher, Itinerant",n/a,NaN,NaN,SPECIAL EDUCATION,0.50137,SPECIAL ED. - SEVERE NEEDS,NaN,PROFESSIONAL-INSTRUCTIONAL,3.83E+04,"SPECIAL ED-M/M HIGH SEC, VOC",NaN,SPECIAL EDUCATION
252386,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Dir, HRIS",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.05E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
252474,Insurance,Business Services,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Insurance And Bonding Costs,NaN,NaN,NaN,NaN,NaN,Insurance And Bonding Costs,School,NaN,School Leadership,NaN,NaN,7.11E+01,Undistributed,Campus Activity Funds,NaN
252544,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Instructional Coach,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Facilitator, Sec Math/Sci",n/a,NaN,NaN,MS TEAM,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.02E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
253248,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,WAREHOUSE,MILL LEVY,Truck Driver,n/a,NaN,NaN,WAREHOUSE OPERATIONS,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",3.34E+00,WAREHOUSE & DISTRIBUTION,NaN,BUSINESS
254433,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Classroom Supplies,NaN,Regular Instruction,NaN,NaN,NaN,General Supplies *,NaN,NaN,Elementary,NaN,NaN,7.00E+03,NaN,General,SCHOOL BASED MANAGEMENT
254697,Professional Development,ISPD,School on Central Budgets,Non-School,Alternative,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,District Wide Resources,0,NaN,NaN,TIME CARD CERTIFIEDAddl,7.59E+02,Instruction - Regular,General Purpose School,NaN
255435,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL,NaN,NaN,"TEACHER, MATH-HIGH",NaN,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,1.73E+03,NaN,GENERAL FUND,LOCAL ALLOC SAI
256545,School Administration,Leadership,School Reported,School,Unspecified,Principal,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Principal, Elementary",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,2.39E+03,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
257601,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,SKILLS SPECIALIST,NaN,Undistributed,Extra Duty Wages,Unallocated,NaN,Curriculum Development And Instructional Staff Dev,Instruction and Curriculum,TEACHER BACHELOR,5.13E+01,Undistributed,General Operating Fund,CURRICULUM WRITING
257714,Professional Development,ISPD,School on Central Budgets,Non-School,Special Education,Instructional Coach,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,NaN,NaN,STIM FUND COTEACHING COACH,NaN,IDEA Part B,NaN,District Wide Resources,0.420105,NaN,SPECIAL EDUCATION,INSTRUC COACH CO-TCHR,2.48E+04,Support - SPED,School Federal Projects,INDIVIDUALS WITH DISABILITIES ACT PART B
258234,Food Services,O&M,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service III",n/a,NaN,NaN,FOOD AND NUTRITION SERVICES,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",8.76E+01,FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
258366,Professional Development,ISPD,School Reported,School,At Risk,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,State Ed. Allotment,ACADEMIC SPECIALIST,NaN,NaN,Extra Duty Wages,School,NaN,Instruction,All Campus Payroll,TEACHER MASTER,7.77E+02,"Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,DEPARTMENT CHAIRPERSON
258917,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,"Teacher, Short Term Sub",n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,1.32E+01,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
258964,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,Custodian,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Building Custodian II,NaN,NaN,NaN,NaN,1,NaN,NaN,BUILDING CUSTODIAN,4.76E+04,Misc,General Fund,NaN
258983,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,NaN,PROFESSIONAL-INSTRUCTIONAL,1.32E+03,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
259751,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Student Advisor, High Sch",Regular,NaN,NaN,NaN,0.108383,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,7.45E+03,GUIDANCE SERVICES,NaN,STUDENTS
259960,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.48E+01,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
260178,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Regular Instruction,NaN,NaN,0,NaN,NaN,CCOACH CERT TCHRACCT,2.52E+03,Instruction - Regular,General Purpose School,NaN
260463,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,1.08E+02,Undistributed,General Operating Fund,FIELD TRIPS
260734,Curriculum Development,ISPD,Leadership & Management,Non-School,Gifted,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,GIFTED AND TALENTED,STATE AND LOCAL GDPG FUND,"Dir, Gifted/Talented Ed",n/a,NaN,NaN,GIFTED AND TALENTED,NaN,STATE - GIFTED AND TALENTED,NaN,ADMINISTRATOR,1.07E+03,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
260757,"Finance, Budget, Purchasing & Distribution",NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,SUPPORT SERVICES - BUSINE,NaN,NaN,4.05E+02,Misc,General Fund,NaN
260831,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,New Library Books,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Library Books *,NaN,NaN,School Library Services *,NaN,NaN,1.08E+03,NaN,General,SCHOOL BASED MANAGEMENT
261206,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,BUS DRIVER,NaN,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,1.41E+01,NaN,GENERAL FUND,NaN
261476,Development & Fundraising,Business Services,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,SOLUTION SPECIALIST,NaN,NaN,NaN,CHIEF ACADEMIC OFFICER,1,Education Services*,NaN,NaN,6.75E+04,NaN,Title I - Disadvantaged Children/Targeted Assistance,ADMIN
261834,School Administration,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,RENTAL OF EQUIPMENT AND VEHICLES,NaN,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,1.09E+04,PRIMARY GRADES PROGRAM,General Fund,NaN
262485,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Guidance Counselor,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,GENERAL FUND,"School Counselor, High Sch",n/a,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.48E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
262785,School Supervision,Leadership,Leadership & Management,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Spec Ed Asst, Mild/Moderate",n/a,NaN,NaN,ES TEAM,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PARAPROFESSIONAL,6.16E+02,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
262791,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,LEVY OVERRIDE,"Facilitator,Elem",Regular,NaN,NaN,NaN,NaN,FACILITATOR,NaN,PROFESSIONAL-INSTRUCTIONAL,2.63E+02,LITERACY COACHES,NaN,INSTRUCTIONAL STAFF
262901,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,"KINDERGARTEN, QBE",NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,3.29E+01,KINDERGARTEN,General Fund,NaN
263431,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONSULTANT,NaN,NaN,NaN,NaN,NaN,NaN,GRANT SERVICES,NaN,ADMIN TECHNOLOGY SVCS,MIS DEPT (CORE),NaN,4.03E+02,NaN,GENERAL FUND,EXEC DIR OF IT
263483,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Other,Benefits,PreK,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,EARLY EDUCATION,ITEMGD PRESCHOOL PROGRAM,SFPC Liaison Specialist,n/a,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - PRESCHOOL PROG,NaN,PROFESSIONAL-OTHER,1.26E+02,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
263811,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,NaN,State Ed. Allotment,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,4.73E+01,"Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
264129,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Special Education,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONSULTANT,NaN,NaN,NaN,NaN,NaN,NaN,ESE,NaN,EXCEPTIONAL,NaN,NaN,6.10E+05,NaN,GENERAL FUND,SAI-EBD CONTRACT
264456,Professional Development,ISPD,Shared Services,Non-School,ELL,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,FEDERAL GDPG FUND - FY,"Teacher, Short Term Sub",n/a,NaN,NaN,ENGLISH FOR SPEAKERS OF OTHER,0.00431,TITLE III  ELA,NaN,PROFESSIONAL-INSTRUCTIONAL,1.10E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
264473,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,OUT OF COUNTY TRAVEL,NaN,NaN,NaN,NaN,NaN,NaN,GRANT SERVICES,NaN,STAFF SERVICES,NaN,NaN,2.53E+02,ED TECHNOLOGY CONFERENCE,GENERAL FUND,GRANT SERVICES
264926,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,Regular,NaN,NaN,NaN,NaN,MONTESSORI TUITION BASED,NaN,PARAPROFESSIONAL,5.39E+02,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
265171,Food Services,O&M,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Fuel,NaN,Food Service Operations,NaN,NaN,NaN,Supplies And Materials For Operation And Repair Of Motor,NaN,NaN,"Food Purchasing, Preparation And Dispensing Services *",NaN,NaN,5.30E+04,NaN,Food Services,ELEM LUNCH
266315,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Title  Part A Improving Basic Programs,SKILLS SPECIALIST,NaN,Regular Salary,Salaries And Wages For Teachers And Other Professi,School,1,Instruction,Instruction And Curriculum,TEACHER BACHELOR,5.34E+04,"Title I, Part A Schoolwide Activities Related To State Comp",Title  Part A Improving Basic Programs,REGULAR PAY
266538,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",6.87E+02,CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
266837,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Secretary - Hourly,n/a,NaN,NaN,SCHOOL CHOICE,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,2.73E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
266848,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,MAINTENANCE,LEVY OVERRIDE,"Supv, Welding/Sheet Metal",n/a,NaN,NaN,MAINTENANCE,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,8.45E+02,MAINTENANCE - WELDING/SHEETMTL,NaN,OPERATION AND MAINT OF PLANT
267062,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,"TEACHER, LANG ARTS-HIGH",NaN,NaN,NaN,School,NaN,INST STAFF TRAINING SVCS,NaN,NaN,2.24E+02,NaN,FED THRU STATE-CASH ADVANCE,TITLE II PART A
267299,Food Services,O&M,Shared Services,School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",NaN,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Food Services (Child Nutrition Fund Only),Child Nutrition,HS FOOD SERVICE WORKER,3.01E+02,Undistributed,National School Breakfast And Lunch Program,ADDL REGULAR PAY-NOT SMOOTHED
267851,Instructional Materials & Supplies,Instruction,School Reported,School,Gifted,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,STATE - GIFTED AND TALENTED,NaN,UNDESIGNATED,1.01E+03,GIFTED AND TALENTED,NaN,REGULAR INSTRUCTION
267959,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CAPITALIZED COMPUTER HARDWARE,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,ADMIN TECHNOLOGY SVCS,NaN,NaN,6.04E+03,NaN,GENERAL FUND,MOBILE RADIO/CAMERA PROJECT
268507,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service II",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",2.68E+03,FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
268626,Utilities,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,NaN,TITLE I-A ARRA OF  TARGETED ASSISTANCE,NaN,NaN,NaN,NaN,NaN,NaN,OTHER SUPPORT SERVICES,NaN,NaN,-1.30E-01,ARRA - Title I Grants to LEAs,Title I,NaN
269402,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,General Supplies,"Performing Arts Department, E",NaN,NaN,NaN,choir,Performing Arts - Music,School,NaN,Instruction,Performing Arts Department,NaN,6.00E-02,Basic Educational Services,General Operating Fund,NaN
269635,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,4.08E+01,NaN,GENERAL FUND,NaN
270056,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,Teacher Secondary (Middle),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,7.13E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
270308,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,Regular,NaN,NaN,NaN,0.169048,MONTESSORI TUITION BASED,NaN,PARAPROFESSIONAL,2.97E+03,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
270425,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,GENERAL FUND,Social Worker,n/a,NaN,NaN,SOCIAL WORK SERVICES,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,8.15E+02,SOCIAL WORK SERVICES,NaN,STUDENTS
270555,Security & Safety,O&M,School on Central Budgets,Non-School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,SECURITY OFFICER,NaN,NaN,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Security And Monitoring Services,Performing Arts Department,POLICE PATROL MAN,1.39E+03,Athletics And Related Activities,General Operating Fund,OVERTIME
270757,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,Basic Educational Services - District Objective,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,NON DEGREED SUBSTITUTE,8.30E+01,Basic Educational Services,General Operating Fund,REGULAR PAY
270776,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,GENERAL FUND,"Manager, Human Resources",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,ADMINISTRATOR,1.56E+03,STAFF SERVICES,NaN,CENTRAL
270965,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,Social Worker,Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,5.20E+02,SOCIAL WORK SERVICES,NaN,STUDENTS
271282,School Supervision,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,Area Officers,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Area Superintendent,NaN,NaN,NaN,ADMIN. SERVICES,1,NaN,NaN,NONE,1.78E+05,Misc,General Fund,NaN
271537,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,LIGHTS ON AFTER SCHOOL,NaN,PROFESSIONAL-INSTRUCTIONAL,2.41E+02,AFTER SCHOOL PROGRAMS,NaN,COCURRICULAR ED/ACTIVITIES
272219,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Teacher, Short Term Sub",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.29E+01,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
272345,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Assistant Principals,NaN,NaN,ASSISTANT PRINCIPAL - SEC,NaN,Office of Principal,NaN,NaN,0,NaN,NaN,ASST PRINCIPAL,7.81E+03,Principal's Office,General Purpose School,NaN
272920,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL AND REGISTRATION,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,3.46E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
273285,Teacher Compensation,Instruction,School on Central Budgets,Non-School,PreK,Teacher,Other Compensation/Stipend,PreK,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,EARLY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",n/a,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,TUITION BASED - ECE,NaN,PROFESSIONAL-INSTRUCTIONAL,4.89E+01,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
273654,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Social Worker,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,2.73E+03,SOCIAL WORK SERVICES,NaN,STUDENTS
274030,Security & Safety,NO_LABEL,School Reported,School,NO_LABEL,Area Officers,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,School Resource Officer,NaN,NaN,NaN,NaN,1,NaN,NaN,RESOURCE OFFICER (NO SUB REQD),5.27E+04,Misc,General Fund,NaN
274308,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),NaN,NaN,NaN,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,NaN,NaN,NaN,2.23E+03,NaN,NaN,NaN
274465,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Super Sub D/D",Turnaround,NaN,NaN,NaN,0.028017,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,1.08E+03,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
