From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Switzerland,The Netherlands,5,13,10,6,11,6,12,5.0,
Switzerland,Azerbaijan,19,23,9,21,19,20,25,,
Switzerland,Hungary,14,25,11,22,25,22,16,,
Switzerland,Italy,3,3,20,19,9,9,4,2.0,7.0
Switzerland,Israel,4,10,2,4,6,3,21,8.0,
Switzerland,Bulgaria,13,9,1,20,17,10,13,1.0,
Switzerland,Sweden,12,18,12,12,7,11,11,,
Switzerland,Germany,15,14,6,23,18,15,3,,8.0
Switzerland,France,17,17,16,11,22,18,8,,3.0
Switzerland,Poland,24,24,13,24,23,25,6,,5.0
Switzerland,Australia,6,2,3,2,1,1,10,12.0,1.0
Switzerland,Cyprus,25,22,15,25,20,24,19,,
Switzerland,Serbia,18,7,14,10,16,13,1,,12.0
Switzerland,Lithuania,2,11,4,9,4,4,18,7.0,
Switzerland,Croatia,23,16,22,26,26,26,15,,
Switzerland,Russia,8,26,21,13,12,17,5,,6.0
Switzerland,Spain,11,20,17,15,8,14,9,,2.0
Switzerland,Latvia,20,4,7,7,10,8,20,3.0,
Switzerland,Ukraine,10,5,18,1,3,5,7,6.0,4.0
Switzerland,Malta,16,21,23,17,15,21,26,,
Switzerland,Georgia,26,6,26,16,24,23,23,,
Switzerland,Austria,1,15,24,5,2,7,2,4.0,10.0
Switzerland,United Kingdom,9,8,19,14,13,12,22,,
Switzerland,Armenia,22,19,25,8,14,19,17,,
The Netherlands,Belgium,11,13,2,6,17,7,1,4.0,12.0
The Netherlands,Czech Republic,24,6,12,7,10,11,24,,
The Netherlands,Azerbaijan,12,12,14,15,4,10,23,1.0,
The Netherlands,Hungary,23,11,15,10,18,17,13,,
The Netherlands,Italy,7,5,7,14,9,5,20,6.0,
The Netherlands,Israel,10,4,5,4,16,4,18,7.0,
The Netherlands,Bulgaria,22,7,19,23,7,18,10,,1.0
The Netherlands,Sweden,5,2,9,1,1,2,9,10.0,2.0
The Netherlands,Germany,8,14,20,25,12,19,19,,
The Netherlands,France,17,8,6,11,6,6,7,5.0,4.0
The Netherlands,Poland,16,25,24,21,25,25,2,,10.0
The Netherlands,Australia,1,3,1,2,3,1,6,12.0,5.0
The Netherlands,Cyprus,13,23,21,5,14,16,15,,
The Netherlands,Serbia,15,16,16,17,24,20,21,,
The Netherlands,Lithuania,21,21,23,8,21,22,12,,
The Netherlands,Croatia,3,24,10,18,5,12,25,,
The Netherlands,Russia,20,15,8,3,19,13,8,,3.0
The Netherlands,Spain,9,9,17,20,13,14,11,,
The Netherlands,Latvia,2,17,22,19,15,15,17,,
The Netherlands,Ukraine,4,22,11,12,2,8,4,3.0,7.0
The Netherlands,Malta,14,20,13,22,20,21,22,,
The Netherlands,Georgia,19,19,25,16,23,23,16,,
The Netherlands,Austria,6,1,3,13,8,3,5,8.0,6.0
The Netherlands,United Kingdom,25,18,18,24,22,24,14,,
The Netherlands,Armenia,18,10,4,9,11,9,3,2.0,8.0
Ukraine,Belgium,5,3,1,1,1,2,18,10.0,
Ukraine,Czech Republic,15,15,14,12,18,14,21,,
Ukraine,The Netherlands,16,16,13,7,14,12,22,,
Ukraine,Azerbaijan,2,4,3,4,11,4,2,7.0,10.0
Ukraine,Hungary,9,10,5,17,6,9,13,2.0,
Ukraine,Italy,20,23,21,16,21,21,17,,
Ukraine,Israel,3,5,6,3,7,5,16,6.0,
Ukraine,Bulgaria,12,9,10,15,5,10,9,1.0,2.0
Ukraine,Sweden,10,7,9,8,8,7,10,4.0,1.0
Ukraine,Germany,22,24,23,23,24,24,20,,
Ukraine,France,14,11,22,13,10,13,14,,
Ukraine,Poland,6,12,16,9,9,11,3,,8.0
Ukraine,Australia,7,6,8,11,2,6,7,5.0,4.0
Ukraine,Cyprus,23,25,25,25,25,25,11,,
Ukraine,Serbia,17,13,18,14,20,17,25,,
Ukraine,Lithuania,1,1,2,2,3,1,8,12.0,3.0
Ukraine,Croatia,25,22,17,18,22,23,24,,
Ukraine,Russia,21,21,24,24,12,22,1,,12.0
Ukraine,Spain,11,14,12,20,23,16,15,,
Ukraine,Latvia,4,2,4,6,4,3,6,8.0,5.0
Ukraine,Malta,18,17,20,22,19,20,19,,
Ukraine,Georgia,8,8,11,5,15,8,5,3.0,6.0
Ukraine,Austria,19,19,15,19,16,19,12,,
Ukraine,United Kingdom,24,18,19,10,13,18,23,,
Ukraine,Armenia,13,20,7,21,17,15,4,,7.0
United Kingdom,Belgium,14,3,20,10,7,11,14,,
United Kingdom,Czech Republic,12,17,17,15,24,19,22,,
United Kingdom,The Netherlands,8,19,15,8,17,14,12,,
United Kingdom,Azerbaijan,25,23,25,21,22,25,23,,
United Kingdom,Hungary,4,14,23,20,15,16,16,,
United Kingdom,Italy,13,20,18,22,25,22,20,,
United Kingdom,Israel,5,5,14,9,19,8,17,3.0,
United Kingdom,Bulgaria,10,4,21,3,9,6,3,5.0,8.0
United Kingdom,Sweden,24,25,9,25,23,24,10,,1.0
United Kingdom,Germany,19,24,19,23,14,23,21,,
United Kingdom,France,6,10,5,7,11,5,11,6.0,
United Kingdom,Poland,16,21,24,14,8,18,2,,10.0
United Kingdom,Australia,3,6,6,4,12,3,5,8.0,6.0
United Kingdom,Cyprus,1,7,2,11,16,4,9,7.0,2.0
United Kingdom,Serbia,9,11,16,6,10,9,24,2.0,
United Kingdom,Lithuania,7,8,13,19,3,7,1,4.0,12.0
United Kingdom,Croatia,21,12,10,5,6,10,25,1.0,
United Kingdom,Russia,20,16,11,13,2,13,4,,7.0
United Kingdom,Spain,17,18,22,16,21,21,7,,4.0
United Kingdom,Latvia,22,9,4,12,20,15,8,,3.0
United Kingdom,Ukraine,11,1,1,1,5,2,6,10.0,5.0
United Kingdom,Malta,18,13,8,17,4,12,15,,
United Kingdom,Georgia,2,2,3,2,1,1,19,12.0,
United Kingdom,Austria,23,15,12,18,13,17,13,,
United Kingdom,Armenia,15,22,7,24,18,20,18,,
